"Proposal","Votes cast","Yes","Abstain","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"NFT Guild: Dynamic Royalties & Burning Tools for Creators","289","₳32,370,094","₳53,744,546","NO","₳199,800","NOT FUNDED","₳743","Approval Threshold"
"ARC Chain Reaction: Unleashing Africa’s Potential Through Cardano","290","₳31,867,954","₳36,034,236","NO","₳190,000","NOT FUNDED","₳743","Approval Threshold"
"Auctions NFT Smart Contract with revenue sharing mechanism for whole Cardano NFT space to use!","255","₳31,665,902","₳36,516,749","NO","₳180,000","NOT FUNDED","₳743","Approval Threshold"
"DRED cPoker integration","284","₳31,586,006","₳40,216,447","NO","₳200,000","NOT FUNDED","₳743","Approval Threshold"
"Django authentication backend as proposed in CIP-0093 to enable ""Login with Cardano"" for the most popular framework in the Python world (the most popular programming language according to TIOBE index)","287","₳30,618,134","₳34,436,566","NO","₳25,000","NOT FUNDED","₳743","Approval Threshold"
"Kardano - Kotlin Multiplatform Cardano Client","271","₳30,257,010","₳50,197,276","NO","₳150,000","NOT FUNDED","₳743","Approval Threshold"
"JS Framework for cardano developers to integrate OAuth/Social logins","284","₳30,194,852","₳38,089,263","NO","₳40,000","NOT FUNDED","₳743","Approval Threshold"
"stealthWallet - air-gapped self custody Wallet","258","₳29,712,611","₳39,986,141","NO","₳46,363","NOT FUNDED","₳743","Approval Threshold"
"DEMU Protocol - Updating Music's Global Financial System","300","₳29,486,866","₳56,942,581","NO","₳200,000","NOT FUNDED","₳743","Approval Threshold"
"Tangocrypto: Open Source Minting Platform for NFTs - With Payment Gateway and Wallet integration","249","₳29,462,415","₳36,042,281","NO","₳199,384","NOT FUNDED","₳743","Approval Threshold"
"Enterprise-Grade SDK to integrate Cardano into industrial ERP systems for Data Integrity","283","₳29,252,634","₳48,215,955","NO","₳75,000","NOT FUNDED","₳743","Approval Threshold"
"DCOne Crypto - Cardano Query Layer + Trading Swap API for Developers [Open Source]","257","₳28,564,889","₳37,414,499","NO","₳54,000","NOT FUNDED","₳743","Approval Threshold"
"BALANCE - Not Delegated UTXO Data Analytics - [Open Source]","250","₳28,198,309","₳53,646,364","NO","₳20,000","NOT FUNDED","₳743","Approval Threshold"
