"Proposal","Votes cast","Yes","No","Result","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"Space Trains and Metadata: Scaling our Communities of Trust","260","₳66,032,846","₳152,664,851","-₳86,632,005","NO","₳109,100","NOT FUNDED","₳32,092","Approval Threshold"
"Templatized Cardano Node Hosted on Decentralized Compute Infrastructure","252","₳55,516,581","₳144,593,257","-₳89,076,676","NO","₳125,000","NOT FUNDED","₳32,092","Approval Threshold"
"Establishment of a Blockchain Research and Innovation Laboratory at KCG College of Technology","282","₳31,147,449","₳121,606,874","-₳90,459,425","NO","₳90,000","NOT FUNDED","₳32,092","Approval Threshold"
"Open source PRISM Node","357","₳58,282,425","₳148,888,362","-₳90,605,937","NO","₳410,000","NOT FUNDED","₳32,092","Approval Threshold"
"Enhanced Catalyst Proposals: Proposal Deposits and Bad Actor Penalties","281","₳58,592,695","₳149,438,649","-₳90,845,954","NO","₳110,000","NOT FUNDED","₳32,092","Approval Threshold"
"MineFreeUkraine: Coordination and DeFi Platform for Large-Scale Humanitarian Demining and Socio-Economic Recovery of Ukraine","336","₳67,575,045","₳159,517,791","-₳91,942,746","NO","₳360,000","NOT FUNDED","₳32,092","Approval Threshold"
"Babel Fees and Sponsored Transactions: NOW!","393","₳57,008,374","₳149,128,224","-₳92,119,850","NO","₳333,446","NOT FUNDED","₳32,092","Approval Threshold"
"Statur: Reputation Model for Web3 Ecosystem that encourages positive behaviour","494","₳56,545,853","₳149,562,173","-₳93,016,320","NO","₳269,223","NOT FUNDED","₳32,092","Approval Threshold"
"Cardano Research and Education Center with UTN and Government agreement","325","₳41,776,895","₳136,823,132","-₳95,046,237","NO","₳340,000","NOT FUNDED","₳32,092","Approval Threshold"
"Milkomeda Smart Contract Indexing","489","₳58,953,844","₳154,206,287","-₳95,252,443","NO","₳1,023,746","NOT FUNDED","₳32,092","Approval Threshold"
"Argus AI: Zero-Subscription SaaS Model For NFT Counterfeit Protection","256","₳24,480,903","₳120,680,013","-₳96,199,110","NO","₳84,040","NOT FUNDED","₳32,092","Approval Threshold"
"EON - Cross-chain Decentralized Data Feeds from Oracles","311","₳39,951,514","₳136,629,094","-₳96,677,580","NO","₳239,830","NOT FUNDED","₳32,092","Approval Threshold"
"Self sovereign identity (SSI) integration into crypto wallets","334","₳45,591,514","₳142,652,877","-₳97,061,363","NO","₳380,000","NOT FUNDED","₳32,092","Approval Threshold"
"BLOCKTRUST production-ready DIDComm Mediator","264","₳39,148,341","₳136,630,831","-₳97,482,490","NO","₳160,000","NOT FUNDED","₳32,092","Approval Threshold"
"Nanopublications Dashboard: a searchable natural language tool for atomic knowledge-sharing","300","₳36,098,048","₳136,762,096","-₳100,664,048","NO","₳82,800","NOT FUNDED","₳32,092","Approval Threshold"
"Upgrade CardanoSharp Library: Cross-Platform Compatibility & Optimized Coin Selection","293","₳38,566,532","₳142,053,140","-₳103,486,608","NO","₳190,000","NOT FUNDED","₳32,092","Approval Threshold"
"Post-quantum security for Cardano accounts 🛡","371","₳49,834,268","₳153,991,469","-₳104,157,201","NO","₳200,000","NOT FUNDED","₳32,092","Approval Threshold"
"Open Sourced Licensing Agreement & Legal Standard for Cardano Digital Collectibles","282","₳41,450,535","₳146,387,312","-₳104,936,777","NO","₳300,000","NOT FUNDED","₳32,092","Approval Threshold"
"Ethereum2Cardano University","405","₳45,444,627","₳150,773,424","-₳105,328,797","NO","₳254,000","NOT FUNDED","₳32,092","Approval Threshold"
"Perun Virtual Channels as Payment Infrastructure","379","₳60,353,154","₳166,663,051","-₳106,309,897","NO","₳678,500","NOT FUNDED","₳32,092","Approval Threshold"
"Revolutionary NFT SDK (Software Development Kit) for Smart Contract (deno/js) that will finally make the Cardano NFT space decentralized and steepens the adoption curve for new businesses!","254","₳24,037,809","₳130,932,893","-₳106,895,084","NO","₳100,000","NOT FUNDED","₳32,092","Approval Threshold"
"DPAY - API PAYMENT GATEWAY","289","₳27,222,555","₳134,699,203","-₳107,476,648","NO","₳60,000","NOT FUNDED","₳32,092","Approval Threshold"
"Scarab - a cardano-node client implementation in functional Scala","344","₳54,424,664","₳163,148,698","-₳108,724,034","NO","₳500,000","NOT FUNDED","₳32,092","Approval Threshold"
"DCOne Crypto API for Open Source Developers","296","₳31,954,665","₳141,996,575","-₳110,041,910","NO","₳132,666","NOT FUNDED","₳32,092","Approval Threshold"
"Sisu Bridge Explorer: A Cross-Chain Bridge Explorer for ADA and EVM Chains to enable seamless Token Transfers","280","₳31,719,562","₳143,163,114","-₳111,443,552","NO","₳105,000","NOT FUNDED","₳32,092","Approval Threshold"
"Getting down to business! Building the Professional Decentralised Business Development Network","308","₳27,117,929","₳139,070,470","-₳111,952,541","NO","₳402,000","NOT FUNDED","₳32,092","Approval Threshold"
"SolarWise // Cardano Renewable Energy Oracle // Unleash the Power of Users and Communities powered by @energiasocial","304","₳28,247,834","₳141,125,979","-₳112,878,145","NO","₳75,000","NOT FUNDED","₳32,092","Approval Threshold"
"Impact Web3 - The Ecosystem where Impact Measurement, Investing, and Verification collide and empower positive change through the Cardano Blockchain","269","₳27,305,721","₳140,724,997","-₳113,419,276","NO","₳210,000","NOT FUNDED","₳32,092","Approval Threshold"
"Cardano Staking API Development Proposal - Precise Insights and Analysis","320","₳35,721,851","₳149,188,200","-₳113,466,349","NO","₳100,000","NOT FUNDED","₳32,092","Approval Threshold"
"FluxusNetwork x Machinations","245","₳18,507,557","₳132,398,811","-₳113,891,254","NO","₳160,000","NOT FUNDED","₳32,092","Approval Threshold"
"The Beam Network: Decentralized Asset Protocol","277","₳28,288,842","₳143,021,471","-₳114,732,629","NO","₳280,000","NOT FUNDED","₳32,092","Approval Threshold"
"Cardano NFT Licenses","333","₳26,665,210","₳141,988,717","-₳115,323,507","NO","₳447,493","NOT FUNDED","₳32,092","Approval Threshold"
"A Dedicated NFT CIP Editor: Accelerating NFT Standards & Developer Success","274","₳31,311,273","₳147,746,777","-₳116,435,504","NO","₳196,200","NOT FUNDED","₳32,092","Approval Threshold"
"CODI: Community-Owned Data Insights; Powered by Cardano","223","₳24,835,229","₳141,879,956","-₳117,044,727","NO","₳75,000","NOT FUNDED","₳32,092","Approval Threshold"
"Revolutionary pro-community NFT Smart Contract. Splitting service fee between multiple parties, on-chain affiliate, precision in lovelaces without any rounding up to the detriment of creators or users.","259","₳20,138,741","₳137,270,370","-₳117,131,629","NO","₳196,000","NOT FUNDED","₳32,092","Approval Threshold"
"All currencies exchange","310","₳19,454,296","₳138,019,432","-₳118,565,136","NO","₳15,000","NOT FUNDED","₳32,092","Approval Threshold"
"U.S. Legal Database and Compliance Assistant","338","₳29,584,264","₳148,233,026","-₳118,648,762","NO","₳220,000","NOT FUNDED","₳32,092","Approval Threshold"
"DRED decentralized API","272","₳27,496,655","₳147,052,671","-₳119,556,016","NO","₳385,000","NOT FUNDED","₳32,092","Approval Threshold"
"Complex Network Tools for Cardano: Funding a University Research Group","250","₳21,906,676","₳142,121,232","-₳120,214,556","NO","₳75,000","NOT FUNDED","₳32,092","Approval Threshold"
"FluxusNetwork x Scaleway","233","₳19,700,704","₳140,341,966","-₳120,641,262","NO","₳95,000","NOT FUNDED","₳32,092","Approval Threshold"
"PAAS - Smart Contract As a Service. A Quick and Low Cost Approach to Build dApps.","328","₳39,588,574","₳162,177,497","-₳122,588,923","NO","₳540,000","NOT FUNDED","₳32,092","Approval Threshold"
"[CNS] Cardano Name Service","354","₳24,335,379","₳148,031,495","-₳123,696,116","NO","₳211,000","NOT FUNDED","₳32,092","Approval Threshold"
"Satellite Oracle: Cardano-based Measurement, Reporting and Verification (MRV) Platform for Environmental Protection and Restoration","336","₳32,980,588","₳157,642,367","-₳124,661,779","NO","₳360,000","NOT FUNDED","₳32,092","Approval Threshold"
"Callisto - Cardano Mobile SDKs for iOS & Android platforms","477","₳39,755,242","₳164,761,678","-₳125,006,436","NO","₳1,250,000","NOT FUNDED","₳32,092","Approval Threshold"
"Providing Equal Access to Technology and Web 3.0 Through Resources and Education","255","₳19,771,932","₳145,209,449","-₳125,437,517","NO","₳75,000","NOT FUNDED","₳32,092","Approval Threshold"
"To develop the means to introduce blockchain technology to the construction trades workforce. Using blockchain to create efficiencies in purchasing and scheduling.","259","₳20,428,057","₳147,234,219","-₳126,806,162","NO","₳75,000","NOT FUNDED","₳32,092","Approval Threshold"
"Optimizing Display Technologies","275","₳23,551,304","₳150,808,306","-₳127,257,002","NO","₳309,034","NOT FUNDED","₳32,092","Approval Threshold"
"The Goal Mechanism and Dynamics of Incentivized Compliance for Task and Goal Achievement","229","₳16,502,799","₳145,200,913","-₳128,698,114","NO","₳141,613","NOT FUNDED","₳32,092","Approval Threshold"
"Bridging Blockchain Worlds: Bitcoin Ordinals on Cardano for Enhanced Liquidity","330","₳28,857,681","₳157,573,410","-₳128,715,729","NO","₳100,000","NOT FUNDED","₳32,092","Approval Threshold"
"Standardizing Seamless Blockchain Integration for Unity Game Engine","438","₳35,422,095","₳164,509,275","-₳129,087,180","NO","₳690,000","NOT FUNDED","₳32,092","Approval Threshold"
"Writers' Safe on Cardano","268","₳19,727,944","₳153,251,314","-₳133,523,370","NO","₳103,449","NOT FUNDED","₳32,092","Approval Threshold"
"Cardano-Mendix plugin by the Landano team","292","₳26,080,367","₳160,188,842","-₳134,108,475","NO","₳498,000","NOT FUNDED","₳32,092","Approval Threshold"
